Australia,AUS,40,20200125,0,0,0,0,0,0,0,0,2,1,2,1,0,1,18.94,1,1,1,1
Australia,AUS,40,20200201,0,0,0,0,0,0,0,3,2,1,2,9,0,1,25.76,1,1,1,1
Australia,AUS,40,20200203,0,0,0,0,0,0,0,3,2,1,2,11,0,1,28.03,1,1,1,1
Australia,AUS,40,20200316,0,0,1,2,0,0,0,3,2,1,2,298,5,1,34.85,1,1,-1,-1
Australia,AUS,40,20200318,0,0,2,2,0,0,0,3,2,1,2,454,5,1,39.39,1,1,-1,-1
Australia,AUS,40,20200319,0,0,2,2,0,0,2,3,2,1,2,565,6,1,46.21,1,1,-1,-1
Australia,AUS,40,20200320,0,0,2,2,0,0,2,4,2,1,2,709,6,1,48.48,1,1,-1,-1
Australia,AUS,40,20200324,3,2,2,3,0,1,2,4,2,1,1,1823,7,1,60.23,1,-1,-1,-1
Australia,AUS,40,20200329,3,2,2,4,0,1,2,4,2,1,1,3809,14,1,65.91,-1,-1,-1,-1
Australia,AUS,40,20200402,3,2,2,4,0,2,2,4,2,1,1,4976,21,1,67.42,-1,-1,-1,-1
Australia,AUS,40,20200418,2,2,2,4,0,2,2,4,2,1,1,6533,67,1,64.39,-1,-1,-1,-1
Australia,AUS,40,20200516,2,1,2,4,0,1,2,4,2,2,1,7019,98,1,63.26,-1,-1,-1,-1
Australia,AUS,40,20200525,2,1,2,4,0,1,2,4,2,2,1,7109,102,1,61.74,-1,-1,-1,-1
Australia,AUS,40,20200529,2,1,2,4,0,0,2,4,2,2,1,7150,102,1,60.23,-1,-1,-1,1
Australia,AUS,40,20200601,2,1,2,3,0,0,2,4,2,2,1,7195,102,1,59.09,-1,-1,-1,1
Australia,AUS,40,20200609,0,1,2,3,0,0,2,4,2,2,1,7265,102,1,54.55,-1,1,1,1
Australia,AUS,40,20200612,0,1,1,3,0,0,2,4,2,2,1,7285,102,1,46.59,1,1,1,1
Australia,AUS,40,20200619,0,1,1,3,0,0,2,4,2,2,2,7391,102,1,51.14,1,1,1,1
Australia,AUS,40,20200623,2,1,1,3,0,0,2,4,2,2,2,7474,102,1,55.68,1,1,1,1
Australia,AUS,40,20200701,3,3,2,3,0,2,2,4,2,2,2,7834,104,1,72.35,1,1,1,1
Australia,AUS,40,20200708,3,2,2,3,1,3,2,4,2,3,2,8755,106,1,77.65,1,1,1,1
Australia,AUS,40,20200713,2,2,2,3,1,3,2,4,2,3,2,9797,108,1,74.62,1,1,1,
Brazil,BRA,76,20200226,0,0,0,0,0,0,0,0,1,1,0,1,0,1,7.58,1,1,1,1
Brazil,BRA,76,20200302,0,0,0,0,0,0,0,0,2,1,0,2,0,1,12.12,1,1,1,1
Brazil,BRA,76,20200312,3,0,2,0,0,0,0,0,2,1,0,52,0,1,26.52,1,1,1,1
Brazil,BRA,76,20200313,3,1,2,0,0,1,0,2,2,1,0,77,0,1,34.09,1,1,1,1
Brazil,BRA,76,20200314,3,1,2,2,0,1,0,2,2,1,0,98,0,1,37.5,1,1,1,1
Brazil,BRA,76,20200317,3,3,2,2,0,1,2,2,2,1,0,234,0,1,50.38,1,1,1,1
Brazil,BRA,76,20200318,3,3,2,3,0,1,2,2,2,1,0,291,1,1,52.65,1,1,1,1
Brazil,BRA,76,20200319,3,3,2,3,1,1,2,3,2,1,0,428,4,1,57.2,1,1,1,1
Brazil,BRA,76,20200321,3,3,2,3,2,1,2,3,2,1,0,904,11,1,61.74,1,1,1,1
Brazil,BRA,76,20200327,3,3,2,3,2,1,2,4,2,1,0,2915,77,1,64.02,1,1,1,1
Brazil,BRA,76,20200426,3,3,2,4,2,1,2,4,2,1,0,58509,4016,1,66.29,1,1,1,1
Brazil,BRA,76,20200505,3,3,2,4,2,2,2,4,2,1,0,107780,7321,1,69.32,1,1,1,1
Brazil,BRA,76,20200525,3,3,2,4,2,2,2,4,2,2,0,363211,22666,1,72.35,1,1,1,1
Brazil,BRA,76,20200601,3,2,2,4,2,2,2,4,2,2,0,514849,29314,1,69.32,1,1,1,1
Brazil,BRA,76,20200703,3,3,2,4,2,2,2,4,2,2,0,1496858,61884,1,72.35,1,1,1,1
Canada,CAN,124,20200126,0,0,0,0,0,0,0,1,0,1,1,1,0,1,9.85,1,1,1,1
Canada,CAN,124,20200309,0,0,0,0,0,0,0,1,0,2,1,62,0,1,12.88,1,1,1,1
Canada,CAN,124,20200311,0,0,0,0,0,0,0,1,2,2,1,93,1,1,21.97,1,1,1,1
Canada,CAN,124,20200312,0,0,2,0,0,0,0,1,2,2,1,103,1,1,28.79,1,1,1,1
Canada,CAN,124,20200314,0,0,2,0,0,1,0,1,2,2,1,176,1,1,30.3,1,1,1,1
Canada,CAN,124,20200316,3,0,2,3,0,1,0,1,2,2,1,304,1,1,46.21,1,1,1,1
Canada,CAN,124,20200318,3,3,2,3,0,1,0,4,2,2,1,569,8,1,60.61,1,1,1,1
Canada,CAN,124,20200319,3,3,2,3,0,1,0,4,2,3,1,690,9,1,63.64,1,1,1,1
Canada,CAN,124,20200320,3,3,2,3,0,1,2,4,2,3,1,846,10,1,71.97,1,1,1,1
Canada,CAN,124,20200323,3,3,2,4,0,1,2,4,2,3,1,1430,20,1,73.11,1,1,1,1
Canada,CAN,124,20200401,3,3,2,4,0,1,2,4,2,3,1,8536,96,1,74.62,1,1,1,1
Canada,CAN,124,20200404,3,3,2,4,0,1,2,4,2,3,1,12519,187,1,73.11,1,1,1,1
Canada,CAN,124,20200511,3,3,2,4,0,1,2,4,2,3,1,68848,4871,1,71.59,1,1,1,1
Canada,CAN,124,20200612,3,3,1,4,0,1,2,4,2,3,1,97519,7994,1,67.05,-1,-1,-1,-1
Canada,CAN,124,20200626,3,2,2,4,0,1,2,4,2,3,1,102611,8504,1,70.08,-1,-1,1,1
Canada,CAN,124,20200709,3,2,2,4,0,1,2,4,2,3,1,106422,8737,1,68.56,1,-1,1,1
China,CHN,156,20200101,0,0,0,0,0,0,0,0,0,1,1,27,0,1,7.58,1,1,1,1
China,CHN,156,20200105,0,0,0,0,0,0,0,0,1,1,2,59,0,1,14.39,1,1,1,1
China,CHN,156,20200115,0,0,0,0,0,0,0,0,2,1,2,59,2,1,18.94,1,1,1,1
China,CHN,156,20200122,0,0,2,4,0,0,0,0,2,1,2,526,17,1,33.71,1,1,1,1
China,CHN,156,20200123,0,0,2,4,2,1,2,0,2,1,2,623,17,1,48.86,1,1,1,1
China,CHN,156,20200125,0,0,2,4,2,1,2,0,2,1,2,1323,41,1,51.14,1,1,1,1
China,CHN,156,20200126,3,3,2,4,2,1,2,0,2,1,2,1988,56,1,69.32,1,1,1,1
China,CHN,156,20200201,3,3,2,4,2,3,2,0,2,1,2,11809,259,1,75.38,1,1,1,1
China,CHN,156,20200210,3,3,2,4,2,3,2,0,2,1,2,40206,909,1,73.86,1,1,-1,-1
China,CHN,156,20200216,3,3,2,4,2,3,2,0,2,2,2,68566,1666,1,76.89,-1,-1,-1,-1
China,CHN,156,20200225,3,3,2,4,2,3,2,2,2,2,2,77749,2665,1,81.44,-1,-1,-1,-1
China,CHN,156,20200316,3,3,2,4,2,3,2,2,2,2,2,81020,3216,1,79.92,-1,-1,-1,-1
China,CHN,156,20200326,3,3,2,4,2,3,2,3,2,2,2,81733,3291,1,82.2,-1,-1,-1,-1
China,CHN,156,20200328,3,3,2,4,0,3,2,3,2,2,2,81946,3299,1,75.38,-1,-1,-1,-1
China,CHN,156,20200331,3,3,2,4,0,3,2,3,2,3,2,82241,3309,1,78.41,-1,-1,-1,-1
China,CHN,156,20200403,3,2,2,4,0,3,2,3,2,3,2,82465,3326,1,75.38,-1,-1,-1,-1
China,CHN,156,20200408,3,2,2,4,0,1,1,3,2,3,2,82784,3337,1,64.77,-1,-1,-1,-1
China,CHN,156,20200510,3,3,2,4,2,3,2,3,2,3,2,83991,4637,1,85.23,-1,-1,-1,-1
China,CHN,156,20200603,2,3,2,4,2,3,2,3,2,3,2,84159,4638,1,82.2,-1,1,1,1
China,CHN,156,20200616,3,3,2,4,2,3,2,3,2,3,2,84378,4638,1,85.23,1,1,1,1
Denmark,DNK,208,20200227,0,0,0,0,0,0,0,0,2,0,1,1,0,1,13.64,1,1,1,1
Denmark,DNK,208,20200303,0,0,0,0,0,1,0,2,2,0,1,5,0,1,21.21,1,1,1,1
Denmark,DNK,208,20200306,0,0,1,0,0,1,0,2,2,0,1,20,0,1,25.76,1,1,1,1
Denmark,DNK,208,20200310,0,0,1,0,1,1,0,2,2,0,1,113,0,1,30.3,1,1,1,1
Denmark,DNK,208,20200311,0,1,1,0,1,1,0,3,2,1,1,264,0,1,38.64,1,1,1,1
Denmark,DNK,208,20200313,3,1,1,3,1,1,1,3,2,1,1,676,0,1,59.09,1,1,1,1
Denmark,DNK,208,20200314,3,1,1,3,1,1,1,4,2,1,1,804,0,1,61.36,1,1,1,1
Denmark,DNK,208,20200318,3,2,1,4,1,1,1,4,2,1,1,1024,4,1,66.67,1,1,1,1
Denmark,DNK,208,20200415,2,2,1,4,1,1,1,4,2,1,1,6511,299,1,63.64,-1,-1,-1,-1
Denmark,DNK,208,20200420,2,2,1,4,1,1,1,4,2,2,1,7384,355,1,66.67,-1,-1,-1,-1
Denmark,DNK,208,20200423,2,2,1,4,1,1,1,4,2,2,2,7912,384,1,71.21,-1,-1,-1,-1
Denmark,DNK,208,20200508,2,2,1,3,1,1,1,4,2,2,2,10083,506,1,68.94,-1,-1,-1,-1
Denmark,DNK,208,20200512,2,2,1,3,1,1,1,4,2,3,2,10513,524,1,71.97,-1,-1,-1,-1
Denmark,DNK,208,20200525,2,2,1,3,1,1,1,3,2,3,2,11360,562,1,69.7,-1,-1,-1,-1
Denmark,DNK,208,20200708,2,2,1,2,1,1,1,3,2,3,2,12888,609,1,67.42,1,1,1,1
South Korea,KOR,410,20200121,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3.03,1,1,1,1
South Korea,KOR,410,20200129,0,0,0,0,0,0,0,0,0,1,1,4,0,1,7.58,1,1,1,1
South Korea,KOR,410,20200131,0,0,1,0,0,0,0,0,0,1,1,7,0,1,9.85,1,1,1,1
South Korea,KOR,410,20200201,0,0,1,0,0,0,0,0,2,1,1,12,0,1,18.94,1,1,1,1
South Korea,KOR,410,20200203,2,0,1,0,0,0,0,0,2,1,1,15,0,1,23.48,1,1,1,1
South Korea,KOR,410,20200204,2,0,1,0,0,0,0,3,2,1,1,16,0,1,30.3,1,1,1,1
South Korea,KOR,410,20200206,3,0,1,0,0,0,0,3,2,1,1,23,0,1,33.33,1,1,1,1
South Korea,KOR,410,20200207,3,0,1,0,0,0,0,3,2,3,1,24,0,1,39.39,1,1,1,1
South Korea,KOR,410,20200211,3,0,1,0,0,0,0,3,2,3,2,28,0,1,43.94,1,1,1,1
South Korea,KOR,410,20200221,3,0,2,2,0,0,0,3,2,3,2,155,1,1,55.3,1,1,1,1
South Korea,KOR,410,20200224,3,1,2,2,0,1,1,3,2,3,2,762,7,1,63.64,1,1,1,1
South Korea,KOR,410,20200321,3,1,2,2,0,2,2,3,2,3,2,8799,103,1,75,-1,-1,-1,-1
South Korea,KOR,410,20200322,3,2,2,3,0,2,2,3,2,3,2,8897,104,1,80.3,-1,-1,-1,-1
South Korea,KOR,410,20200404,3,2,2,4,0,2,2,3,2,3,2,10156,177,1,82.58,-1,-1,-1,-1
South Korea,KOR,410,20200406,3,3,2,4,0,2,2,3,2,3,2,10284,186,1,85.61,-1,-1,-1,-1
South Korea,KOR,410,20200418,3,3,2,4,0,1,1,3,2,3,2,10653,232,1,78.03,-1,-1,-1,-1
South Korea,KOR,410,20200420,3,2,1,0,0,0,0,3,2,3,2,10674,236,1,53.79,-1,-1,-1,-1
South Korea,KOR,410,20200520,2,2,1,0,0,0,0,3,2,3,2,11110,263,1,50.76,-1,1,1,1
South Korea,KOR,410,20200529,3,2,2,4,0,1,1,3,2,3,2,11402,269,1,64.77,1,1,1,1
South Korea,KOR,410,20200704,3,2,2,4,0,1,1,2,2,3,2,13030,283,1,62.5,1,-1,-1,1
South Korea,KOR,410,20200711,3,2,1,4,0,1,1,2,2,3,2,13373,288,1,57.95,-1,-1,-1,
New Zealand,NZL,554,20200228,0,0,0,0,0,0,0,3,2,1,2,1,0,1,28.03,1,1,1,1
New Zealand,NZL,554,20200316,0,0,2,2,0,0,0,3,2,1,2,8,0,1,41.67,1,1,1,1
New Zealand,NZL,554,20200320,0,0,2,2,0,0,0,4,2,1,2,39,0,1,43.94,1,1,1,1
New Zealand,NZL,554,20200321,0,1,2,3,0,1,1,4,2,1,2,53,0,1,56.82,1,1,1,1
New Zealand,NZL,554,20200322,0,1,2,3,0,1,1,4,2,1,2,66,0,1,56.82,1,1,1,1
New Zealand,NZL,554,20200323,0,2,2,4,1,2,2,4,2,1,2,102,0,1,74.24,1,1,1,1
New Zealand,NZL,554,20200324,3,2,2,4,1,2,2,4,2,1,2,142,0,1,83.33,1,1,1,1
New Zealand,NZL,554,20200325,3,3,2,4,1,2,2,4,2,1,2,189,0,1,86.36,1,1,1,1
New Zealand,NZL,554,20200326,3,3,2,4,2,2,2,4,2,1,2,262,0,1,90.91,1,1,1,1
New Zealand,NZL,554,20200401,3,3,2,4,2,2,2,4,2,2,2,647,1,1,93.94,1,1,-1,-1
New Zealand,NZL,554,20200428,3,2,2,4,1,2,2,4,2,2,2,1124,19,1,86.36,-1,-1,-1,-1
New Zealand,NZL,554,20200429,2,2,2,4,1,2,2,4,2,2,2,1126,19,1,83.33,-1,-1,-1,-1
New Zealand,NZL,554,20200514,0,0,1,3,0,0,0,4,2,2,2,1147,21,1,44.7,-1,-1,-1,-1
New Zealand,NZL,554,20200529,0,0,1,2,0,0,0,4,2,2,2,1154,22,1,42.42,-1,-1,1,1
New Zealand,NZL,554,20200608,0,0,0,0,0,0,0,4,2,2,2,1154,22,1,33.33,1,1,1,1
New Zealand,NZL,554,20200611,0,0,0,0,0,0,0,3,2,2,2,1154,22,1,31.06,1,1,1,1
New Zealand,NZL,554,20200710,0,0,0,0,0,0,0,4,2,2,2,1192,22,1,33.33,-1,-1,-1,
Sweden,SWE,752,20200201,0,0,0,0,0,0,0,0,0,1,2,1,0,1,12.12,1,1,1,1
Sweden,SWE,752,20200309,0,0,0,0,0,0,0,0,2,1,2,203,0,1,21.21,1,1,1,1
Sweden,SWE,752,20200312,0,0,0,2,0,0,0,0,2,1,2,462,1,1,25.76,1,1,1,1
Sweden,SWE,752,20200318,1,0,0,2,0,0,0,0,2,1,2,1167,8,1,28.79,1,1,1,1
Sweden,SWE,752,20200319,1,0,0,2,0,0,0,3,2,1,2,1301,10,1,35.61,1,1,1,1
Sweden,SWE,752,20200323,1,0,0,2,0,0,0,3,2,1,1,1906,21,1,31.06,1,1,1,1
Sweden,SWE,752,20200325,1,1,0,2,0,0,0,3,2,1,1,2272,36,1,34.09,1,1,1,1
Sweden,SWE,752,20200329,1,1,0,3,0,0,0,3,2,1,1,3447,102,1,36.36,1,1,1,1
Sweden,SWE,752,20200401,1,1,1,3,0,0,0,3,2,1,1,4435,180,1,40.91,1,1,1,1
Sweden,SWE,752,20200404,1,1,1,3,0,0,1,3,2,1,1,6078,333,1,45.45,1,1,1,1
Sweden,SWE,752,20200604,1,1,1,3,0,0,1,3,2,2,1,40803,4542,1,48.48,1,1,1,1
Sweden,SWE,752,20200613,1,1,1,3,0,0,0,3,2,2,1,49684,4854,1,43.94,1,1,1,1
Sweden,SWE,752,20200704,1,1,1,3,0,0,0,3,2,2,1,71419,5420,1,42.42,1,1,1,1
United States,USA,840,20200121,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4.55,1,1,1,1
United States,USA,840,20200202,0,0,0,0,0,0,0,2,0,0,1,8,0,1,9.09,1,1,1,1
United States,USA,840,20200228,0,0,0,0,0,0,0,2,0,1,1,60,0,1,12.12,1,1,1,1
United States,USA,840,20200301,0,0,1,0,0,0,0,2,0,1,1,69,1,1,14.39,1,1,1,1
United States,USA,840,20200302,0,0,1,0,0,0,0,3,0,1,1,89,2,1,16.67,1,1,1,1
United States,USA,840,20200304,0,0,1,0,0,0,0,3,0,2,1,125,9,1,19.7,1,1,1,1
United States,USA,840,20200305,3,0,1,0,0,0,0,3,0,2,1,159,11,1,27.27,1,1,1,1
United States,USA,840,20200311,3,0,1,1,0,0,0,3,0,2,1,1025,28,1,28.41,1,1,1,1
United States,USA,840,20200312,3,0,2,2,0,0,0,3,0,2,1,1312,30,1,35.23,1,1,1,1
United States,USA,840,20200314,3,0,2,2,0,0,1,3,0,3,1,2174,47,1,42.8,1,1,1,1
United States,USA,840,20200315,3,0,2,2,0,2,1,3,0,3,1,2951,57,1,47.35,1,1,1,1
United States,USA,840,20200316,3,0,2,2,0,2,1,3,2,3,1,3774,69,1,56.44,1,1,1,1
United States,USA,840,20200317,3,0,2,2,1,2,1,3,2,3,1,4661,85,1,58.71,1,1,1,1
United States,USA,840,20200319,3,3,2,2,1,2,2,3,2,3,1,9415,150,1,68.56,1,1,1,1
United States,USA,840,20200321,3,3,2,4,1,2,2,3,2,3,1,19624,260,1,73.11,1,1,1,1
United States,USA,840,20200615,3,2,2,4,1,2,2,3,2,3,1,2094069,115732,1,70.08,1,1,1,1
South Africa,ZAF,710,20200306,0,0,0,0,0,0,0,1,2,0,0,1,0,1,11.36,1,1,1,1
South Africa,ZAF,710,20200307,0,0,0,0,0,0,0,1,2,1,2,2,0,1,23.48,1,1,1,1
South Africa,ZAF,710,20200315,0,0,0,0,0,0,1,1,2,1,2,24,0,1,28.03,1,1,1,1
South Africa,ZAF,710,20200316,0,0,2,3,0,0,1,1,2,1,2,51,0,1,43.94,1,1,1,1
South Africa,ZAF,710,20200318,3,0,2,3,0,0,1,3,2,1,2,85,0,1,57.58,1,1,1,1
South Africa,ZAF,710,20200326,3,3,2,3,1,2,2,4,2,1,2,709,0,1,84.09,1,1,1,1
South Africa,ZAF,710,20200328,3,3,2,3,1,2,2,4,2,2,2,1170,2,1,87.12,1,1,1,1
South Africa,ZAF,710,20200601,3,2,2,3,1,1,2,4,2,3,2,32683,683,1,84.09,1,1,1,1
South Africa,ZAF,710,20200608,2,2,2,3,1,1,2,4,2,3,2,48285,998,1,81.06,1,1,1,1
South Africa,ZAF,710,20200712,2,2,2,3,1,2,2,4,2,3,2,264184,3971,1,84.09,1,1,-1,
Italy,ITA,380,20200131,0,0,0,0,0,0,0,3,2,1,2,3,0,1,28.03,1,1,1,1
Italy,ITA,380,20200221,0,0,0,0,0,0,2,3,2,1,2,3,0,1,34.85,1,1,1,1
Italy,ITA,380,20200222,0,3,0,0,0,0,2,3,2,1,2,17,0,1,42.42,1,1,1,1
Italy,ITA,380,20200223,3,3,2,4,0,2,2,3,2,1,2,79,2,1,69.32,1,1,1,1
Italy,ITA,380,20200226,3,3,2,4,0,2,2,3,2,2,2,322,11,1,72.35,1,1,1,1
Italy,ITA,380,20200304,3,3,2,4,0,2,2,3,2,2,2,2502,80,1,76.14,1,1,1,1
Italy,ITA,380,20200310,3,3,2,4,0,2,2,3,2,2,2,9172,464,1,82.58,1,1,1,1
Italy,ITA,380,20200311,3,3,2,4,1,2,2,3,2,2,2,10149,631,1,84.85,1,1,1,1
Italy,ITA,380,20200320,3,3,2,4,1,3,2,3,2,2,2,41035,3407,1,90.15,1,1,1,1
Italy,ITA,380,20200410,3,3,2,4,1,2,2,3,2,2,2,143626,18281,1,87.12,1,1,1,-1
Italy,ITA,380,20200412,3,3,2,4,2,2,2,3,2,2,2,152271,19470,1,91.67,1,1,-1,-1
Italy,ITA,380,20200504,3,1,2,4,0,1,1,2,2,2,2,210717,28884,1,66.67,-1,-1,-1,-1
Italy,ITA,380,20200516,3,2,2,4,0,1,1,2,2,2,2,223885,31610,1,69.7,-1,-1,-1,-1
Italy,ITA,380,20200518,3,2,2,0,0,1,2,3,2,2,2,225435,31908,1,67.42,-1,-1,-1,-1
Italy,ITA,380,20200602,3,2,2,0,0,1,0,3,2,2,2,233197,33475,1,58.33,-1,-1,-1,-1
Italy,ITA,380,20200603,3,2,2,0,0,1,0,0,2,2,2,233515,33530,1,51.52,-1,-1,-1,-1
Italy,ITA,380,20200611,3,2,2,0,0,1,0,2,2,2,2,235763,34114,1,56.06,-1,-1,-1,-1
Italy,ITA,380,20200615,3,2,2,2,0,1,0,2,2,2,2,236989,34345,1,60.61,-1,-1,-1,-1
Italy,ITA,380,20200709,3,2,2,2,0,1,0,3,2,2,2,242149,34914,1,62.88,-1,-1,-1,-1
Spain,ESP,724,20200201,0,0,0,0,0,0,0,0,2,1,2,1,0,1,21.21,1,1,1,1
Spain,ESP,724,20200224,0,0,0,0,0,0,0,0,2,1,1,2,0,1,16.67,1,1,1,1
Spain,ESP,724,20200309,3,1,0,0,0,0,1,0,2,1,1,1527,5,1,28.03,1,1,1,1
Spain,ESP,724,20200310,3,1,2,1,0,0,1,3,2,1,1,2299,28,1,45.08,1,1,1,1
Spain,ESP,724,20200314,3,2,2,1,1,2,1,3,2,1,1,7641,121,1,62.5,1,1,1,1
Spain,ESP,724,20200316,3,2,2,1,1,2,1,3,2,1,1,11491,288,1,64.02,1,1,1,1
Spain,ESP,724,20200317,3,2,2,1,1,2,1,4,2,1,1,13994,309,1,66.29,1,1,1,1
Spain,ESP,724,20200330,3,3,2,4,1,2,1,4,2,1,1,96122,6528,1,77.27,1,1,1,1
Spain,ESP,724,20200405,3,3,2,4,1,2,1,4,2,2,1,138731,11744,1,80.3,-1,-1,1,1
Spain,ESP,724,20200411,3,3,2,4,1,2,1,4,2,1,1,168022,15843,1,77.27,1,1,-1,-1
Spain,ESP,724,20200504,3,3,2,4,1,2,1,4,2,1,1,219205,25428,1,74.62,-1,-1,1,1
Spain,ESP,724,20200513,3,3,2,4,1,2,1,4,2,2,1,228691,27104,1,78.79,1,1,1,1
Spain,ESP,724,20200517,3,3,2,4,1,2,1,4,2,2,1,231350,27650,1,75.38,1,1,1,1
Spain,ESP,724,20200522,3,2,2,4,1,2,1,4,2,2,1,234824,28628,1,72.35,1,1,1,1
Spain,ESP,724,20200526,2,2,2,4,1,2,1,4,2,2,1,236259,27117,1,69.32,1,1,1,1
Spain,ESP,724,20200527,2,2,2,4,1,1,1,4,2,2,1,236769,27118,1,66.29,1,1,1,1
Spain,ESP,724,20200601,2,2,2,3,1,1,1,4,2,2,1,239638,27127,1,65.15,1,1,1,1
Spain,ESP,724,20200608,2,1,2,3,0,1,1,4,2,2,1,241717,27136,1,57.58,1,1,1,1
Spain,ESP,724,20200621,2,0,2,2,0,0,0,1,2,2,1,246272,28323,1,38.26,1,1,1,1
Spain,ESP,724,20200704,2,0,2,4,0,1,2,1,2,2,1,250545,28385,1,51.14,1,1,1,1
Spain,ESP,724,20200715,2,2,2,4,0,2,2,1,2,2,1,257494,28413,1,58.71,1,1,1,